"key";"de";"en";"de_f";"it";"es"
"TSCS_0015_CHOICE3";"Stimme zu";"Agree";"Stimme zu";"Agree";"Agree"
"TSCS_0015_CHOICE4";"Stimme sehr zu";"Strongly agree";"Stimme sehr zu";"Strongly agree";"Strongly agree"
"TSCS_0015_PROMPT";"Ich fühle mich oft ausgegrenzt.";"I often feel like I'm left outside of things";"Ich fühle mich oft ausgegrenzt.";"I often feel like I'm left outside of things";"I often feel like I'm left outside of things"
"TSCS_0016_CHOICE1";"Stimme überhaupt nicht zu";"Strongly disagree";"Stimme überhaupt nicht zu";"Strongly disagree";"Strongly disagree"
"TSCS_0016_CHOICE2";"Stimme nicht zu";"Disagree";"Stimme nicht zu";"Disagree";"Disagree"
"TSCS_0016_CHOICE3";"Stimme zu";"Agree";"Stimme zu";"Agree";"Agree"
"TSCS_0016_CHOICE4";"Stimme sehr zu";"Strongly agree";"Stimme sehr zu";"Strongly agree";"Strongly agree"
"TSCS_0016_PROMPT";"Andere erzählen Lügen über mich.";"People tell lies about me";"Andere erzählen Lügen über mich.";"People tell lies about me";"People tell lies about me"
"TSCS_0017_CHOICE1";"Stimme überhaupt nicht zu";"Strongly disagree";"Stimme überhaupt nicht zu";"Strongly disagree";"Strongly disagree"
"TSCS_0017_CHOICE2";"Stimme nicht zu";"Disagree";"Stimme nicht zu";"Disagree";"Disagree"
"TSCS_0017_CHOICE3";"Stimme zu";"Agree";"Stimme zu";"Agree";"Agree"
"TSCS_0017_CHOICE4";"Stimme sehr zu";"Strongly agree";"Stimme sehr zu";"Strongly agree";"Strongly agree"
"TSCS_0017_PROMPT";"Ich habe viele Freunde.";"I have a lot of friends";"Ich habe viele Freunde.";"I have a lot of friends";"I have a lot of friends"
"TSCS_0018_CHOICE1";"Stimme überhaupt nicht zu";"Strongly disagree";"Stimme überhaupt nicht zu";"Strongly disagree";"Strongly disagree"
"TSCS_0018_CHOICE2";"Stimme nicht zu";"Disagree";"Stimme nicht zu";"Disagree";"Disagree"
"TSCS_0018_CHOICE3";"Stimme zu";"Agree";"Stimme zu";"Agree";"Agree"
"TSCS_0018_CHOICE4";"Stimme sehr zu";"Strongly agree";"Stimme sehr zu";"Strongly agree";"Strongly agree"
"TSCS_0018_PROMPT";"Ich fühle mich oft alleine.";"I spend a lot of time feeling lonely";"Ich fühle mich oft alleine.";"I spend a lot of time feeling lonely";"I spend a lot of time feeling lonely"
"TSCS_0019_CHOICE1";"Stimme überhaupt nicht zu";"Strongly disagree";"Stimme überhaupt nicht zu";"Strongly disagree";"Strongly disagree"
"TSCS_0019_CHOICE2";"Stimme nicht zu";"Disagree";"Stimme nicht zu";"Disagree";"Disagree"
"TSCS_0019_CHOICE3";"Stimme zu";"Agree";"Stimme zu";"Agree";"Agree"
"TSCS_0019_CHOICE4";"Stimme sehr zu";"Strongly agree";"Stimme sehr zu";"Strongly agree";"Strongly agree"
"TSCS_0019_PROMPT";"Ich weiß nie, wie ich mich verhalten soll, wenn ich mit Leuten zusammen bin, die ich nicht kenne.";"I'm never sure how to act when I'm with people I don't know well";"Ich weiß nie, wie ich mich verhalten soll, wenn ich mit Leuten zusammen bin, die ich nicht kenne.";"I'm never sure how to act when I'm with people I don't know well";"I'm never sure how to act when I'm with people I don't know well"
"TSCS_0020_CHOICE1";"Stimme überhaupt nicht zu";"Strongly disagree";"Stimme überhaupt nicht zu";"Strongly disagree";"Strongly disagree"
"TSCS_0020_CHOICE2";"Stimme nicht zu";"Disagree";"Stimme nicht zu";"Disagree";"Disagree"
"TSCS_0020_CHOICE3";"Stimme zu";"Agree";"Stimme zu";"Agree";"Agree"
"TSCS_0020_CHOICE4";"Stimme sehr zu";"Strongly agree";"Stimme sehr zu";"Strongly agree";"Strongly agree"
"TSCS_0020_PROMPT";"Andere erzählen mir ihre Geheimnisse.";"People tell me their secrets";"Andere erzählen mir ihre Geheimnisse.";"People tell me their secrets";"People tell me their secrets"
"TSCS_0021_CHOICE1";"Stimme überhaupt nicht zu";"Strongly disagree";"Stimme überhaupt nicht zu";"Strongly disagree";"Strongly disagree"
"TSCS_0021_CHOICE2";"Stimme nicht zu";"Disagree";"Stimme nicht zu";"Disagree";"Disagree"
