"key";"de";"en";"de_f";"it";"es"
"TGDS_0023_CHOICE5";"Mehrmals im Monat";"Multiple times a month";"Mehrmals im Monat";"Multiple times a month";"Multiple times a month"
"TGDS_0023_PROMPT";"Wie oft siehst du dir Tanzaufführungen/-shows/-videos im Fernsehen oder Internet an?";"How often do you watch dance performances/shows/videos on TV or the Internet?";"Wie oft siehst du dir Tanzaufführungen/-shows/-videos im Fernsehen oder Internet an?";"How often do you watch dance performances/shows/videos on TV or the Internet?";"How often do you watch dance performances/shows/videos on TV or the Internet?"
"TGDS_0024_CHOICE1";"Stimme ganz und gar nicht zu";"Completely disagree";"Stimme ganz und gar nicht zu";"Completely disagree";"Completely disagree"
"TGDS_0024_CHOICE2";"Stimme nicht zu";"Strongly disagree";"Stimme nicht zu";"Strongly disagree";"Strongly disagree"
"TGDS_0024_CHOICE3";"Stimme eher nicht zu";"Disagree";"Stimme eher nicht zu";"Disagree";"Disagree"
"TGDS_0024_CHOICE4";"Weder noch";"Neither agree, nor disagree";"Weder noch";"Neither agree, nor disagree";"Neither agree, nor disagree"
"TGDS_0024_CHOICE5";"Stimme eher zu";"Agree";"Stimme eher zu";"Agree";"Agree"
"TGDS_0024_CHOICE6";"Stimme zu";"Strongly agree";"Stimme zu";"Strongly agree";"Strongly agree"
"TGDS_0024_CHOICE7";"Stimme voll und ganz zu";"Completely agree";"Stimme voll und ganz zu";"Completely agree";"Completely agree"
"TGDS_0024_PROMPT";"Ich wäre lieber ein/e gute/r Sänger/in als ein/e gute/r Tänzer/in.";"I’d rather be a good singer than a good dancer.";"Ich wäre lieber ein/e gute/r Sänger/in als ein/e gute/r Tänzer/in.";"I’d rather be a good singer than a good dancer.";"I’d rather be a good singer than a good dancer."
"TGDS_0025_CHOICE1";"Stimme ganz und gar nicht zu";"Completely disagree";"Stimme ganz und gar nicht zu";"Completely disagree";"Completely disagree"
"TGDS_0025_CHOICE2";"Stimme nicht zu";"Strongly disagree";"Stimme nicht zu";"Strongly disagree";"Strongly disagree"
"TGDS_0025_CHOICE3";"Stimme eher nicht zu";"Disagree";"Stimme eher nicht zu";"Disagree";"Disagree"
"TGDS_0025_CHOICE4";"Weder noch";"Neither agree, nor disagree";"Weder noch";"Neither agree, nor disagree";"Neither agree, nor disagree"
"TGDS_0025_CHOICE5";"Stimme eher zu";"Agree";"Stimme eher zu";"Agree";"Agree"
"TGDS_0025_CHOICE6";"Stimme zu";"Strongly agree";"Stimme zu";"Strongly agree";"Strongly agree"
"TGDS_0025_CHOICE7";"Stimme voll und ganz zu";"Completely agree";"Stimme voll und ganz zu";"Completely agree";"Completely agree"
"TGDS_0025_PROMPT";"Ich weiß viel über Tanz und Choreografie.";"I know a lot about dance and choreography.";"Ich weiß viel über Tanz und Choreografie.";"I know a lot about dance and choreography.";"I know a lot about dance and choreography."
"TGDS_0026_CHOICE1";"Stimme ganz und gar nicht zu";"Completely disagree";"Stimme ganz und gar nicht zu";"Completely disagree";"Completely disagree"
"TGDS_0026_CHOICE2";"Stimme nicht zu";"Strongly disagree";"Stimme nicht zu";"Strongly disagree";"Strongly disagree"
"TGDS_0026_CHOICE3";"Stimme eher nicht zu";"Disagree";"Stimme eher nicht zu";"Disagree";"Disagree"
"TGDS_0026_CHOICE4";"Weder noch";"Neither agree, nor disagree";"Weder noch";"Neither agree, nor disagree";"Neither agree, nor disagree"
"TGDS_0026_CHOICE5";"Stimme eher zu";"Agree";"Stimme eher zu";"Agree";"Agree"
"TGDS_0026_CHOICE6";"Stimme zu";"Strongly agree";"Stimme zu";"Strongly agree";"Strongly agree"
"TGDS_0026_CHOICE7";"Stimme voll und ganz zu";"Completely agree";"Stimme voll und ganz zu";"Completely agree";"Completely agree"
"TGDS_0026_PROMPT";"Ich bin gewillt zu reisen, um eine Tanzaufführung zu sehen oder an Tanzstunden teilzunehmen.";"I am prepared to travel to watch dance or take part in dance classes.";"Ich bin gewillt zu reisen, um eine Tanzaufführung zu sehen oder an Tanzstunden teilzunehmen.";"I am prepared to travel to watch dance or take part in dance classes.";"I am prepared to travel to watch dance or take part in dance classes."
